Common Name,Status
Black Tern,Accidental
Forster's Tern,Accidental
Arctic Tern,Accidental
Common Tern,Accidental
Forster's/Common Tern,Accidental
Common/Arctic Tern,Accidental
Sterna sp.,Accidental
tern sp.,Accidental
gull/tern sp.,Accidental
Pied-billed Grebe,Accidental
Horned Grebe,Accidental
Red-necked Grebe,Accidental
Eared Grebe,Accidental
Horned/Eared Grebe,Accidental
Podiceps sp.,Accidental
Western Grebe,Accidental
Clark's Grebe,Accidental
Western x Clark's Grebe (hybrid),Accidental
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-throated Loon,Accidental
Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
loon sp.,Accidental
Double-crested Cormorant,Accidental
Great/Double-crested Cormorant,Accidental
Neotropic Cormorant,Accidental
Double-crested/Neotropic Cormorant,Accidental
cormorant sp.,Accidental
Glossy Ibis,Accidental
White-faced Ibis,Accidental
Glossy x White-faced Ibis (hybrid),Accidental
Glossy/White-faced Ibis,Accidental
American Bittern,Accidental
Black-crowned Night Heron,Accidental
Little Blue Heron,Accidental
Snowy Egret,Accidental
Green Heron,Accidental
Western Cattle-Egret,Accidental
Great Egret,Accidental
Great Blue Heron,Rare
heron sp.,Accidental
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
Turkey Vulture,Accidental
Osprey,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Accidental
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
Bald Eagle,Accidental
Golden/Bald Eagle,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
Buteo/eagle sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Western Screech-Owl,Accidental
screech-owl sp.,Accidental
Snowy Owl,Accidental
Great Horned Owl,Accidental
Northern Hawk Owl,Accidental
Northern Pygmy-Owl,Accidental
Burrowing Owl,Accidental
Barred Owl,Accidental
Great Gray Owl,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Asio sp.,Accidental
Boreal Owl,Accidental
Northern Saw-whet Owl,Accidental
Boreal/Northern Saw-whet Owl,Accidental
