Common Name,Status
Guadalupe Murrelet,Accidental
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Accidental
murrelet sp.,Accidental
alcid sp.,Accidental
Little Gull,Accidental
Ross's Gull,Accidental
Black-legged Kittiwake,Accidental
Red-legged Kittiwake,Accidental
Ivory Gull,Accidental
Sabine's Gull,Accidental
Bonaparte's Gull,Accidental
Black-headed Gull,Accidental
Laughing Gull,Accidental
Franklin's Gull,Accidental
Black-tailed Gull,Accidental
Heermann's Gull,Accidental
Short-billed Gull,Accidental
Common/Short-billed Gull,Accidental
Ring-billed Gull,Accidental
Western Gull,Accidental
American Herring Gull,Accidental
Vega Gull,Accidental
American Herring/Vega Gull,Accidental
Vega/Mongolian Gull,Accidental
Great Black-backed Gull,Accidental
Glaucous Gull,Accidental
American Herring x Glaucous Gull (hybrid),Accidental
Lesser Black-backed Gull,Accidental
Herring complex/Lesser Black-backed Gull,Accidental
California Gull,Accidental
Glaucous-winged Gull,Rare
Western x Glaucous-winged Gull (hybrid),Accidental
American Herring x Glaucous-winged Gull (hybrid),Accidental
Glaucous x Glaucous-winged Gull (hybrid),Accidental
American Herring/Glaucous-winged Gull,Accidental
Western/Glaucous-winged Gull,Accidental
Slaty-backed Gull,Accidental
Iceland Gull,Accidental
American Herring/Iceland Gull,Accidental
white-winged gull sp.,Accidental
Larus sp.,Accidental
gull sp.,Accidental
Least Tern,Accidental
Caspian Tern,Accidental
Black Tern,Accidental
Forster's Tern,Accidental
Arctic Tern,Accidental
Common Tern,Accidental
Forster's/Common Tern,Accidental
Common/Arctic Tern,Accidental
Sterna sp.,Accidental
tern sp.,Accidental
gull/tern sp.,Accidental
Pied-billed Grebe,Accidental
Horned Grebe,Accidental
Red-necked Grebe,Accidental
Eared Grebe,Accidental
Horned/Eared Grebe,Accidental
Western Grebe,Accidental
Clark's Grebe,Accidental
Western x Clark's Grebe (hybrid),Accidental
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-throated Loon,Accidental
Arctic Loon,Accidental
Pacific Loon,Accidental
Arctic/Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
Common/Yellow-billed Loon,Accidental
loon sp.,Accidental
Laysan Albatross,Accidental
Black-footed Albatross,Accidental
Short-tailed Albatross,Accidental
albatross sp.,Accidental
Fork-tailed Storm-Petrel,Accidental
Leach's Storm-Petrel,Accidental
storm-petrel sp.,Accidental
Northern Fulmar,Accidental
Murphy's Petrel,Accidental
Mottled Petrel,Accidental
Hawaiian Petrel,Accidental
Pink-footed Shearwater,Accidental
Flesh-footed Shearwater,Accidental
Buller's Shearwater,Accidental
Sooty Shearwater,Accidental
Short-tailed Shearwater,Accidental
Sooty/Short-tailed Shearwater,Accidental
Manx Shearwater,Accidental
small shearwater sp.,Accidental
shearwater sp.,Accidental
procellariid sp.,Accidental
Cocos Booby,Accidental
Masked Booby,Accidental
Nazca Booby,Accidental
Masked/Nazca Booby,Accidental
Brandt's Cormorant,Accidental
Red-faced Cormorant,Accidental
Pelagic Cormorant,Accidental
Double-crested Cormorant,Rare
cormorant sp.,Accidental
White-faced Ibis,Accidental
Glossy/White-faced Ibis,Accidental
ibis sp.,Accidental
American Bittern,Accidental
Black-crowned Night Heron,Accidental
Snowy Egret,Accidental
Green Heron,Accidental
Western Cattle-Egret,Accidental
Great Egret,Accidental
Great Blue Heron,Rare
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
Black Vulture,Accidental
Turkey Vulture,Accidental
new world vulture sp.,Accidental
Osprey,Accidental
White-tailed Kite,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Accidental
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
Bald Eagle,Rare
Golden/Bald Eagle,Accidental
Mississippi Kite,Accidental
Harris's Hawk,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Red-tailed x Rough-legged Hawk (hybrid),Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Western Screech-Owl,Accidental
Snowy Owl,Accidental
Great Horned Owl,Accidental
Bubo sp.,Accidental
Northern Hawk Owl,Accidental
Northern Pygmy-Owl,Accidental
Burrowing Owl,Accidental
Barred Owl,Accidental
Great Gray Owl,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Boreal Owl,Accidental
Northern Saw-whet Owl,Accidental
owl sp.,Accidental
Belted Kingfisher,Accidental
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied x Red-naped Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Yellow-bellied x Red-breasted Sapsucker (hybrid),Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Red-headed Woodpecker,Accidental
Acorn Woodpecker,Accidental
American Three-toed Woodpecker,Accidental
Black-backed Woodpecker,Accidental
American Three-toed/Black-backed Woodpecker,Accidental
Downy Woodpecker,Rare
Hairy Woodpecker,Accidental
Downy/Hairy Woodpecker,Accidental
Dryobates sp.,Accidental
Pileated Woodpecker,Accidental
Northern Flicker,Rare
woodpecker sp.,Accidental
Crested Caracara,Accidental
American Kestrel,Accidental
Merlin,Accidental
Gyrfalcon,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Budgerigar,Accidental
Olive-sided Flycatcher,Accidental
Western Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Yellow-bellied Flycatcher,Accidental
Alder Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Western Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Accidental
Eastern Phoebe,Accidental
Say's Phoebe,Accidental
Vermilion Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Myiarchus sp.,Accidental
Tropical Kingbird,Accidental
Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Western x Eastern Kingbird (hybrid),Accidental
Scissor-tailed Flycatcher,Accidental
Tyrannus sp.,Accidental
new world flycatcher sp.,Accidental
White-eyed Vireo,Accidental
Bell's Vireo,Accidental
Hutton's Vireo,Accidental
Cassin's Vireo,Accidental
Blue-headed Vireo,Accidental
Cassin's/Blue-headed Vireo,Accidental
solitary vireo sp.,Accidental
Philadelphia Vireo,Accidental
Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
Philadelphia/Red-eyed Vireo,Accidental
vireo sp.,Accidental
Red-backed Shrike,Accidental
Brown Shrike,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Rare
Blue Jay,Accidental
Steller's x Blue Jay (hybrid),Accidental
California Scrub-Jay,Accidental
Steller's Jay x California Scrub-Jay (hybrid),Accidental
jay sp.,Accidental
Black-billed Magpie,Accidental
Clark's Nutcracker,Accidental
American Crow,Rare
crow sp.,Accidental
Common Raven,Rare
raven sp.,Accidental
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Rare
Mountain Chickadee,Accidental
Black-capped x Mountain Chickadee (hybrid),Accidental
Black-capped/Mountain Chickadee,Accidental
Chestnut-backed Chickadee,Rare
Boreal Chickadee,Accidental
chickadee sp.,Accidental
Eurasian Skylark,Accidental
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Accidental
Tree/Violet-green Swallow,Accidental
Tachycineta sp.,Accidental
Purple Martin,Accidental
Northern Rough-winged Swallow,Accidental
Barn Swallow,Accidental
Cliff Swallow,Accidental
Cave Swallow,Accidental
Cliff/Cave Swallow,Accidental
swallow sp.,Accidental
